model,arm,sample_id,acuity_delta,acuity_abs_delta,acuity_dir,diag_dir,next_dir,consensus_flip,coherence
claude,format_tone,1778,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,1786,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,1789,-1,1,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,1797,2,2,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,1801,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,1874,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,1885,1,1,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,1906,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,1914,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,1923,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,1936,-2,2,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,1941,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,1963,-2,2,down,,high_to_low,next,coherent_more_worried
claude,format_tone,1987,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,2018,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,2028,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,2029,-2,2,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,2037,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,2038,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,2043,-2,2,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,2047,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,2049,-2,2,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,2056,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,2064,-2,2,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,2068,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,2074,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,2084,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,2100,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,2124,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,2126,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,2127,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,2147,2,2,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,2151,-1,1,down,high_to_low,low_to_high,diag+next,multi_mixed
claude,format_tone,2168,-3,3,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,2172,2,2,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,2181,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,2182,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,2186,-2,2,down,stable,low_to_high,next,multi_mixed
claude,format_tone,2193,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,2227,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,2236,3,3,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,2247,-1,1,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,2260,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,2262,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,2266,2,2,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,2275,1,1,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,2277,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,2306,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,2309,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,2344,-3,3,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,2345,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,2359,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,2361,1,1,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,2374,-1,1,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,2390,2,2,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,2412,1,1,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,2451,2,2,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,2457,2,2,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,2460,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,2465,-1,1,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,2470,1,1,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,2491,3,3,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,2504,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,2542,-1,1,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,2544,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,2557,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,2593,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,2595,1,1,up,,high_to_low,next,multi_mixed
claude,format_tone,2607,-3,3,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,2626,-2,2,down,low_to_high,,diag,multi_mixed
claude,content_format,5,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,content_format,13,1,1,up,stable,high_to_low,next,multi_mixed
claude,content_format,117,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,content_format,143,1,1,up,low_to_high,low_to_high,diag+next,coherent_less_worried
claude,content_format,155,1,1,up,stable,high_to_low,next,multi_mixed
claude,content_format,181,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,content_format,183,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,content_format,233,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,content_format,249,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,content_format,260,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,content_format,261,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,content_format,286,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,content_format,297,-1,1,down,high_to_low,stable,diag,coherent_more_worried
claude,content_format,312,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,content_format,329,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,content_format,353,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,content_format,359,2,2,up,stable,high_to_low,next,multi_mixed
claude,content_format,373,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,content_format,393,-1,1,down,stable,low_to_high,next,multi_mixed
claude,content_format,413,-1,1,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,content_format,437,1,1,up,,high_to_low,next,multi_mixed
claude,content_format,462,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,content_format,478,-2,2,down,stable,low_to_high,next,multi_mixed
